ticker,security,gics_sector,gics_sub_industry,index_membership,rows,last_close,median_dv_126d,passes
DAN,Dana Incorporated,Consumer Discretionary,Automotive Parts & Equipment,S&P 600,4614,34.630001068115234,41059544.64597702,True
DAR,Darling Ingredients,Consumer Staples,Agricultural Products & Services,S&P 400,5620,64.83999633789062,109581352.3262024,True
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,S&P 500,1356,166.13999938964844,860236441.5298462,True
DBX,Dropbox,Information Technology,Application Software,S&P 400,2040,25.40999984741211,88631369.75746155,True
DCH,Dauch Corporation,Consumer Discretionary,Automotive Parts & Equipment,S&P 600,5620,5.380000114440918,24735172.803592682,True
DCI,Donaldson Company,Industrials,Industrial Machinery & Supplies & Components,S&P 400,5620,86.27999877929688,58388890.48461914,True
DD,DuPont,Materials,Specialty Chemicals,S&P 500,5620,49.2400016784668,182077233.06732178,True
DDOG,Datadog,Information Technology,Application Software,S&P 500,1665,145.72999572753906,611548160.3302002,True
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,S&P 500,5620,575.7899780273438,716600070.7885742,True
DECK,Deckers Brands,Consumer Discretionary,Footwear,S&P 500,5620,98.54000091552734,247462002.78778076,True
DEI,Douglas Emmett,Real Estate,Office REITs,S&P 600,4911,11.329999923706056,23087405.978679657,True
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,2442,216.32000732421875,964552292.6696777,True
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,S&P 500,4142,117.01000213623048,388838057.10487366,True
DGX,Quest Diagnostics,Health Care,Health Care Services,S&P 500,5620,190.83999633789065,173562933.6036682,True
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,S&P 500,5620,146.47000122070312,393091578.2409668,True
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,S&P 500,5620,174.6300048828125,792326074.7833252,True
DINO,HF Sinclair,Energy,Oil & Gas Refining & Marketing,S&P 400,5620,74.5,126853192.06581116,True
DIOD,Diodes Incorporated,Information Technology,Semiconductors,S&P 600,5620,112.5,23799442.40951538,True
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,S&P 500,5620,100.4800033569336,1064959442.7276611,True
DKS,Dick's Sporting Goods,Consumer Discretionary,Specialty Stores,S&P 400,5620,215.4900054931641,231757002.6916504,True
DLB,Dolby,Information Technology,Application Software,S&P 400,5336,59.040000915527344,39888102.894592285,True
DLR,Digital Realty,Real Estate,Data Center REITs,S&P 500,5412,196.69000244140625,326467828.2196045,True
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,S&P 500,5620,93.69000244140624,354330793.49212646,True
DNOW,NOW Inc,Industrials,Trading Companies & Distributors,S&P 600,3008,13.609999656677246,32030870.243358612,True
DOC,Healthpeak Properties,Real Estate,Health Care REITs,S&P 500,5620,16.510000228881836,129585699.99217987,True
DOCN,DigitalOcean,Information Technology,Internet Services & Infrastructure,S&P 400,1285,152.77000427246094,176438598.36978912,True
DOCS,Doximity,Health Care,Health Care Technology,S&P 400,1221,25.770000457763672,90754806.8090439,True
DOCU,Docusign,Information Technology,Application Software,S&P 400,2016,48.380001068115234,193868555.47790527,True
DORM,"Dorman Products, Inc.",Consumer Discretionary,Automotive Parts & Equipment,S&P 600,5620,119.5199966430664,23852289.04724121,True
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,S&P 500,5620,223.47000122070312,218496876.59683228,True
DOW,Dow Inc.,Materials,Commodity Chemicals,S&P 500,1792,40.79999923706055,352639233.8238716,True
DPZ,Domino's,Consumer Discretionary,Restaurants,S&P 500,5489,331.7300109863281,293036727.44750977,True
DRH,DiamondRock Hospitality Company,Real Estate,Hotel & Resort REITs,S&P 600,5268,10.640000343322754,22663611.52291298,True
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,S&P 500,5620,194.5,257963493.9201355,True
DT,Dynatrace,Information Technology,Application Software,S&P 400,1699,38.619998931884766,193992668.91155243,True
DTE,DTE Energy,Utilities,Multi-Utilities,S&P 500,5620,143.5,187220107.11364746,True
DTM,DT Midstream,Energy,Oil & Gas Storage & Transportation,S&P 400,1216,146.47000122070312,94306410.53237915,True
DUK,Duke Energy,Utilities,Electric Utilities,S&P 500,5620,127.58000183105467,471170899.09591675,True
DUOL,Duolingo,Consumer Discretionary,Education Services,S&P 400,1198,104.02999877929688,260489508.9668274,True
DV,"DoubleVerify Holdings, Inc.",Communication Services,Advertising,S&P 600,1266,11.460000038146973,24689100.788354874,True
DVA,DaVita,Health Care,Health Care Services,S&P 500,5620,157.0399932861328,102567280.61141968,True
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,S&P 500,5620,50.9900016784668,407578368.81980896,True
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,S&P 600,5620,11.859999656677246,31335215.772008896,True
DXCM,Dexcom,Health Care,Health Care Equipment,S&P 500,5298,59.47999954223633,325256974.7779846,True
DY,Dycom Industries,Industrials,Construction & Engineering,S&P 400,5620,457.1400146484375,130981252.00805664,True
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,S&P 500,5620,201.57000732421875,382707310.73150635,True
EAT,"Brinker International, Inc.",Consumer Discretionary,Restaurants,S&P 600,5620,144.94000244140625,179630276.45835876,True
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,S&P 500,5620,105.26000213623048,408600951.1116028,True
ECG,"Everus Construction Group, Inc.",Industrials,Construction & Engineering,S&P 600,380,168.32000732421875,54016837.13798523,True
ECL,Ecolab,Materials,Specialty Chemicals,S&P 500,5620,257.6499938964844,363503369.25964355,True
ED,Consolidated Edison,Utilities,Multi-Utilities,S&P 500,5620,109.1500015258789,199399084.19647217,True
EEFT,Euronet Worldwide,Financials,Transaction & Payment Processing Services,S&P 400,5620,70.41000366210938,51741096.64268494,True
EFX,Equifax,Industrials,Research & Consulting Services,S&P 500,5620,170.02000427246094,302068191.9700623,True
EG,Everest Group,Financials,Reinsurance,S&P 500,5620,349.67999267578125,116208376.31835938,True
EGP,EastGroup Properties,Real Estate,Industrial REITs,S&P 400,5620,200.3999938964844,62189520.861816406,True
EHC,Encompass Health,Health Care,Health Care Facilities,S&P 400,5620,105.16000366210938,96212696.84066772,True
EIX,Edison International,Utilities,Electric Utilities,S&P 500,5620,68.87000274658203,184649320.10803223,True
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,S&P 500,5620,82.8499984741211,357680693.6538696,True
ELAN,Elanco,Health Care,Pharmaceuticals,S&P 400,1915,22.989999771118164,110304275.72975159,True
ELF,e.l.f. Beauty,Consumer Staples,Personal Care Products,S&P 400,2417,59.41999816894531,153598069.91958618,True
ELS,Equity Lifestyle Properties,Real Estate,Single-Family Residential REITs,S&P 400,5620,62.5,96974387.5459671,True
ELV,Elevance Health,Health Care,Managed Health Care,S&P 500,5620,369.0700073242188,514861474.2630005,True
EME,Emcor,Industrials,Construction & Engineering,S&P 500,5620,933.27001953125,258158036.19384766,True
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,S&P 600,5620,77.29000091552734,105938264.80636597,True
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,S&P 500,5620,138.3800048828125,381532919.10858154,True
